date,moderator,operation_time_minutes
2020-10-01,165,1.52
2020-10-01,178,0.02
2020-10-01,173,0.73
2020-10-01,173,1.25
2020-10-01,173,1.05
2020-10-01,173,2.3
2020-10-01,173,0.37
2020-10-01,173,1.73
2020-10-01,173,0.88
2020-10-01,135,1.47
2020-10-01,173,0.15
2020-10-01,173,2.18
2020-10-01,141,5.87
2020-10-01,173,4.48
2020-10-01,178,0.88
2020-10-01,135,1.52
2020-10-01,135,2.25
2020-10-01,114,2.4
2020-10-01,135,1.13
2020-10-01,135,3.92
2020-10-01,114,6.47
2020-10-01,141,5.43
2020-10-01,114,3.37
2020-10-01,135,2.68
2020-10-01,114,1.83
2020-10-01,178,1.27
2020-10-01,178,0.75
2020-10-01,114,5.03
2020-10-01,178,0.3
2020-10-01,167,6.63
2020-10-01,141,4.22
2020-10-01,135,2.07
2020-10-01,135,1.53
2020-10-01,135,1.48
2020-10-01,135,1.72
2020-10-01,141,5.25
2020-10-01,135,1.4
2020-10-01,135,1.73
2020-10-01,135,2.0
2020-10-01,135,4.93
2020-10-01,135,2.65
2020-10-01,114,2.67
2020-10-01,135,3.33
2020-10-01,135,2.68
2020-10-01,167,7.58
2020-10-01,135,2.27
2020-10-01,135,3.75
2020-10-01,135,2.5
2020-10-01,135,1.8
2020-10-01,135,1.8
2020-10-01,135,1.95
2020-10-01,135,2.18
2020-10-01,135,0.98
2020-10-01,135,2.23
2020-10-01,135,1.23
2020-10-01,138,0.2
2020-10-01,135,1.35
2020-10-01,114,0.3
2020-10-01,114,0.5
2020-10-01,135,0.98
2020-10-01,114,0.53
2020-10-01,178,3.77
2020-10-01,114,0.25
2020-10-01,178,2.77
2020-10-01,114,0.43
2020-10-01,114,0.3
2020-10-01,114,0.48
2020-10-01,114,1.07
2020-10-01,114,0.18
2020-10-01,114,0.43
2020-10-01,114,0.17
2020-10-01,114,0.35
2020-10-01,114,0.37
2020-10-01,114,1.63
2020-10-01,114,0.13
2020-10-01,141,0.78
2020-10-01,141,1.33
2020-10-01,141,1.4
2020-10-01,141,1.95
2020-10-01,141,3.37
2020-10-01,141,0.18
2020-10-01,141,1.63
2020-10-01,141,2.55
2020-10-01,141,0.28
2020-10-01,141,0.78
2020-10-01,141,0.35
2020-10-01,141,3.32
2020-10-01,135,1.5
2020-10-01,141,0.32
2020-10-01,110,1.3
2020-10-01,141,0.38
2020-10-01,141,1.25
2020-10-01,141,1.63
2020-10-01,141,0.17
2020-10-01,141,0.18
2020-10-01,141,0.5
2020-10-01,141,1.77
2020-10-01,135,0.78
2020-10-01,135,2.17
2020-10-01,141,0.25
2020-10-01,141,0.27
2020-10-01,141,0.32
2020-10-01,135,1.43
2020-10-01,173,3.3
2020-10-01,135,4.65
2020-10-01,167,3.97
2020-10-01,141,0.48
2020-10-01,141,1.07
2020-10-01,141,0.53
2020-10-01,135,1.05
2020-10-01,141,0.5
2020-10-01,135,1.12
2020-10-01,135,0.73
2020-10-01,135,2.75
2020-10-01,141,2.43
2020-10-01,141,0.3
2020-10-01,141,0.33
2020-10-01,141,0.3
2020-10-01,173,7.2
2020-10-01,135,2.57
2020-10-01,141,2.53
2020-10-01,173,5.67
2020-10-01,141,0.88
2020-10-01,141,0.17
2020-10-01,141,0.23
2020-10-01,141,0.32
2020-10-01,173,12.92
2020-10-01,173,6.42
2020-10-01,141,0.43
2020-10-01,173,4.2
2020-10-01,135,2.17
2020-10-01,167,7.97
2020-10-01,135,1.75
2020-10-01,135,2.0
2020-10-01,135,1.98
2020-10-01,178,0.25
2020-10-01,135,1.77
2020-10-01,135,1.72
2020-10-01,173,3.72
2020-10-01,172,1.67
2020-10-01,172,4.12
2020-10-01,172,0.48
2020-10-01,172,1.18
2020-10-01,172,1.03
2020-10-01,172,1.5
2020-10-01,172,0.45
2020-10-01,173,1.92
2020-10-01,172,3.98
2020-10-01,172,5.85
2020-10-01,172,1.73
2020-10-01,172,3.02
2020-10-01,172,0.73
2020-10-01,173,0.2
2020-10-01,173,1.37
2020-10-01,172,5.52
2020-10-01,172,3.17
2020-10-01,172,7.02
2020-10-01,172,0.52
2020-10-01,172,1.28
2020-10-01,172,1.38
2020-10-01,172,0.02
2020-10-01,172,0.63
2020-10-01,172,1.08
2020-10-01,172,5.68
2020-10-01,135,1.67
2020-10-01,172,2.0
2020-10-01,172,5.98
2020-10-01,172,1.08
2020-10-01,165,2.4
2020-10-01,165,2.9
2020-10-01,165,0.23
2020-10-01,135,0.53
2020-10-01,165,0.03
2020-10-01,165,0.02
2020-10-01,135,0.97
2020-10-01,165,0.32
2020-10-01,165,1.03
2020-10-01,165,0.2
2020-10-01,135,0.02
2020-10-01,165,0.47
2020-10-01,165,5.13
2020-10-01,165,0.97
2020-10-01,165,0.15
2020-10-01,165,0.15
2020-10-01,165,0.2
2020-10-01,165,0.33
2020-10-01,165,0.7
2020-10-01,165,0.02
2020-10-01,165,0.2
2020-10-01,165,0.38
2020-10-01,165,3.5
2020-10-01,165,2.18
2020-10-01,165,0.55
2020-10-01,165,0.53
2020-10-01,165,0.17
2020-10-01,165,0.98
2020-10-01,165,0.15
2020-10-01,165,6.82
2020-10-01,165,3.25
2020-10-01,165,0.02
2020-10-01,165,0.57
2020-10-01,165,0.15
2020-10-01,165,0.18
2020-10-01,165,0.35
2020-10-02,178,2.4
2020-10-02,178,10.4
2020-10-02,178,4.05
2020-10-02,172,5.23
2020-10-02,178,4.02
2020-10-02,172,2.72
2020-10-02,173,4.47
2020-10-02,178,1.15
2020-10-02,178,5.87
2020-10-02,173,3.45
2020-10-02,172,1.13
2020-10-02,172,0.67
2020-10-02,172,4.35
2020-10-02,173,4.35
2020-10-02,178,1.55
2020-10-02,173,17.33
2020-10-02,173,2.87
2020-10-02,173,2.78
2020-10-02,173,5.47
2020-10-02,114,11.15
2020-10-02,178,1.67
2020-10-02,172,1.18
2020-10-02,172,0.75
2020-10-02,172,0.43
2020-10-02,172,0.67
2020-10-02,172,0.53
2020-10-02,178,3.05
2020-10-02,172,2.03
2020-10-02,172,2.4
2020-10-02,178,1.78
2020-10-02,172,3.42
2020-10-02,178,5.58
2020-10-02,173,0.08
2020-10-02,178,0.82
2020-10-02,178,7.38
2020-10-02,141,5.0
2020-10-02,141,0.43
2020-10-02,141,1.12
2020-10-02,141,0.73
2020-10-02,141,4.52
2020-10-02,141,0.6
2020-10-02,141,4.25
2020-10-02,178,5.95
2020-10-02,178,0.98
2020-10-02,141,3.07
2020-10-02,141,0.83
2020-10-02,178,0.75
2020-10-02,141,3.43
2020-10-02,178,1.75
2020-10-02,141,3.15
2020-10-02,141,0.8
2020-10-02,141,2.08
2020-10-02,178,0.57
2020-10-02,141,0.02
2020-10-02,141,1.47
2020-10-02,178,1.48
2020-10-02,141,2.7
2020-10-02,178,3.37
2020-10-02,141,0.5
2020-10-02,141,4.65
2020-10-02,178,3.3
2020-10-02,141,2.25
2020-10-02,141,3.27
2020-10-02,141,5.33
2020-10-02,141,2.6
2020-10-02,178,7.35
2020-10-02,141,0.4
2020-10-02,141,1.32
2020-10-02,178,2.22
2020-10-02,141,0.65
2020-10-02,141,0.6
2020-10-02,141,1.65
2020-10-02,141,1.1
2020-10-02,172,4.23
2020-10-02,178,1.17
2020-10-02,172,3.8
2020-10-02,178,0.82
2020-10-02,178,0.18
2020-10-02,178,0.22
2020-10-02,178,1.63
2020-10-02,172,5.13
2020-10-02,172,1.78
2020-10-02,172,6.55
2020-10-02,178,0.7
2020-10-02,172,2.18
2020-10-02,172,2.7
2020-10-02,178,2.03
2020-10-02,178,8.15
2020-10-02,178,0.77
2020-10-02,178,4.93
2020-10-02,167,1.7
2020-10-02,167,4.32
2020-10-02,178,11.47
2020-10-02,167,2.95
2020-10-02,178,0.58
2020-10-02,178,1.62
2020-10-02,178,1.63
2020-10-02,167,1.13
2020-10-02,178,1.98
2020-10-02,178,2.15
2020-10-02,167,3.58
2020-10-02,165,3.38
2020-10-02,167,1.7
2020-10-02,178,1.7
2020-10-02,178,5.03
2020-10-02,172,0.03
2020-10-02,172,0.15
2020-10-02,172,2.63
2020-10-02,172,1.67
2020-10-02,172,0.63
2020-10-02,172,0.52
2020-10-02,172,0.93
2020-10-02,172,2.23
2020-10-02,172,0.52
2020-10-02,172,0.93
2020-10-02,172,0.5
2020-10-02,172,3.3
2020-10-02,172,1.83
2020-10-02,172,0.7
2020-10-02,172,0.9
2020-10-02,172,0.75
2020-10-02,172,2.58
2020-10-02,172,2.38
2020-10-02,172,0.75
2020-10-02,172,0.75
2020-10-02,172,0.63
2020-10-02,172,0.93
2020-10-02,172,2.9
2020-10-02,172,0.05
2020-10-02,172,2.22
2020-10-02,172,0.82
2020-10-02,172,1.27
2020-10-02,172,2.3
2020-10-02,165,1.78
2020-10-02,172,0.48
2020-10-02,172,0.57
2020-10-02,172,1.07
2020-10-02,172,0.85
2020-10-02,172,0.63
2020-10-02,172,0.75
2020-10-02,172,0.87
2020-10-02,172,0.47
2020-10-02,172,1.98
2020-10-02,172,2.1
2020-10-02,172,2.35
2020-10-02,172,0.87
2020-10-02,172,1.28
2020-10-02,172,1.97
2020-10-02,172,0.03
2020-10-02,165,4.3
2020-10-02,165,0.62
2020-10-02,165,0.75
2020-10-02,165,0.23
2020-10-02,165,0.3
2020-10-02,165,0.15
2020-10-02,165,0.27
2020-10-02,165,0.13
2020-10-02,165,0.63
2020-10-02,165,0.82
2020-10-02,165,0.38
2020-10-02,165,1.53
2020-10-02,165,3.97
2020-10-02,165,0.6
2020-10-02,165,0.72
2020-10-02,165,1.02
2020-10-02,165,2.82
2020-10-02,165,1.18
2020-10-02,165,3.97
2020-10-02,165,0.28
2020-10-02,165,0.23
2020-10-02,165,0.25
2020-10-02,165,0.5
2020-10-02,165,0.05
2020-10-02,165,0.17
2020-10-02,165,0.35
2020-10-02,165,0.23
2020-10-02,165,0.67
2020-10-02,165,2.3
2020-10-02,165,0.03
2020-10-03,136,2.13
2020-10-03,136,5.22
2020-10-03,136,0.2
2020-10-03,136,4.72
2020-10-03,136,2.48
2020-10-03,136,2.9
2020-10-03,136,3.65
2020-10-03,136,3.28
2020-10-03,136,5.7
2020-10-03,136,3.67
2020-10-03,136,2.12
2020-10-03,173,1.18
2020-10-03,173,1.7
2020-10-03,173,0.45
2020-10-03,173,0.85
2020-10-03,173,0.32
2020-10-03,173,1.0
2020-10-03,173,0.85
2020-10-03,173,0.55
2020-10-03,173,1.78
2020-10-03,173,0.02
2020-10-03,173,0.08
2020-10-03,173,1.85
2020-10-03,173,0.8
2020-10-03,173,0.45
2020-10-03,173,0.37
2020-10-03,173,1.35
2020-10-03,136,3.27
2020-10-03,136,2.07
2020-10-03,173,0.67
2020-10-03,136,3.4
2020-10-03,136,2.25
2020-10-03,136,2.63
2020-10-03,173,0.63
2020-10-03,136,2.3
2020-10-03,136,1.68
2020-10-03,173,0.22
2020-10-03,173,0.58
2020-10-03,173,0.13
2020-10-03,121,3.63
2020-10-03,136,0.82
2020-10-03,121,5.28
2020-10-03,136,0.42
2020-10-03,136,0.87
2020-10-03,136,0.77
2020-10-03,121,4.97
2020-10-03,136,1.38
2020-10-03,136,0.35
2020-10-03,136,0.2
2020-10-03,136,1.0
2020-10-03,136,0.43
2020-10-03,121,5.07
2020-10-03,136,0.45
2020-10-03,136,1.02
2020-10-03,136,1.87
2020-10-03,136,0.77
2020-10-03,136,1.93
2020-10-03,136,0.92
2020-10-03,136,1.13
2020-10-03,136,0.18
2020-10-03,136,1.92
2020-10-03,136,0.02
2020-10-03,136,0.02
2020-10-03,136,0.62
2020-10-03,136,0.87
2020-10-03,136,0.05
2020-10-03,136,0.12
2020-10-03,136,0.38
2020-10-03,172,0.87
2020-10-03,172,1.65
2020-10-03,172,0.78
2020-10-03,172,3.62
2020-10-03,172,1.97
2020-10-03,172,2.18
2020-10-03,172,1.18
2020-10-03,172,1.58
2020-10-03,172,0.78
2020-10-03,173,0.98
2020-10-03,173,0.92
2020-10-03,173,0.43
2020-10-03,172,0.83
2020-10-03,173,0.43
2020-10-03,173,0.32
2020-10-03,173,0.13
2020-10-03,173,0.48
2020-10-03,173,3.15
2020-10-03,172,1.37
2020-10-03,172,0.5
2020-10-03,173,0.88
2020-10-03,172,0.62
2020-10-03,172,1.78
2020-10-03,173,1.27
2020-10-03,172,0.2
2020-10-03,172,1.0
2020-10-03,152,3.37
2020-10-03,173,0.15
2020-10-03,173,0.15
2020-10-03,172,1.4
2020-10-03,173,0.08
2020-10-03,172,0.98
2020-10-03,172,0.02
2020-10-03,172,0.67
2020-10-03,136,4.27
2020-10-03,152,0.07
2020-10-03,152,0.25
2020-10-03,152,3.22
2020-10-03,152,1.03
2020-10-03,152,1.92
2020-10-03,152,0.53
2020-10-03,152,5.5
2020-10-03,152,1.08
2020-10-03,136,3.13
2020-10-03,152,0.88
2020-10-03,152,0.38
2020-10-03,152,1.07
2020-10-03,152,2.98
2020-10-03,136,1.8
2020-10-03,172,0.3
2020-10-03,172,1.43
2020-10-03,172,0.6
2020-10-03,136,0.33
2020-10-03,172,0.87
2020-10-03,186,5.48
2020-10-03,136,0.72
2020-10-03,172,0.52
2020-10-03,172,0.42
2020-10-03,172,0.73
2020-10-03,136,0.62
2020-10-03,172,0.47
2020-10-03,186,1.93
2020-10-03,172,0.3
2020-10-03,186,3.33
2020-10-03,186,1.08
2020-10-03,186,1.85
2020-10-03,186,0.93
2020-10-03,186,0.03
2020-10-03,186,0.35
2020-10-03,117,0.02
2020-10-03,186,0.8
2020-10-03,186,1.37
2020-10-03,186,0.95
2020-10-03,186,2.83
2020-10-03,186,1.12
2020-10-03,186,3.05
2020-10-03,186,0.03
2020-10-03,117,6.42
2020-10-03,117,6.82
2020-10-03,117,0.8
2020-10-03,117,1.55
2020-10-03,117,0.77
2020-10-03,117,2.83
2020-10-03,117,1.98
2020-10-03,117,1.28
2020-10-03,117,1.13
2020-10-03,117,0.12
2020-10-03,117,0.37
2020-10-03,117,0.23
2020-10-03,117,0.87
2020-10-03,117,0.45
2020-10-03,117,6.75
2020-10-03,117,3.15
2020-10-03,117,0.02
2020-10-03,117,2.12
2020-10-03,117,1.03
2020-10-03,117,7.05
2020-10-03,117,0.17
2020-10-03,117,2.17
2020-10-03,117,0.28
2020-10-03,117,1.75
2020-10-03,117,2.63
2020-10-03,117,2.37
2020-10-03,186,2.0
2020-10-03,117,0.27
2020-10-03,117,2.1
2020-10-03,117,3.18
2020-10-03,117,0.38
2020-10-03,117,0.57
2020-10-03,117,0.83
2020-10-03,186,1.03
2020-10-03,117,0.7
2020-10-03,117,0.68
