date,moderator,operation_time_minutes
2020-10-01,128,0.85
2020-10-01,128,2.9
2020-10-01,128,2.15
2020-10-01,128,1.15
2020-10-01,128,1.02
2020-10-01,128,2.3
2020-10-01,128,2.68
2020-10-01,153,16.13
2020-10-01,153,3.65
2020-10-01,128,0.67
2020-10-01,153,1.93
2020-10-01,153,1.32
2020-10-01,128,3.0
2020-10-01,128,1.13
2020-10-01,128,1.22
2020-10-01,128,0.98
2020-10-01,128,2.53
2020-10-01,153,3.2
2020-10-01,187,10.07
2020-10-01,128,0.4
2020-10-01,128,1.38
2020-10-01,153,11.83
2020-10-01,128,0.63
2020-10-01,128,0.9
2020-10-01,128,3.53
2020-10-01,153,3.35
2020-10-01,153,8.03
2020-10-01,153,6.33
2020-10-01,128,2.62
2020-10-01,128,1.52
2020-10-01,128,2.02
2020-10-01,128,1.93
2020-10-01,161,18.77
2020-10-01,187,11.9
2020-10-01,128,0.88
2020-10-01,128,0.53
2020-10-01,187,2.82
2020-10-01,187,0.78
2020-10-01,187,1.08
2020-10-01,187,1.03
2020-10-01,187,1.47
2020-10-01,161,2.87
2020-10-01,187,0.87
2020-10-01,161,2.2
2020-10-01,129,2.88
2020-10-01,187,0.95
2020-10-01,187,0.75
2020-10-01,187,0.95
2020-10-01,187,14.0
2020-10-01,161,0.87
2020-10-01,161,4.13
2020-10-01,153,0.47
2020-10-01,161,2.85
2020-10-01,161,7.57
2020-10-01,103,5.18
2020-10-01,103,2.0
2020-10-01,128,4.8
2020-10-01,187,13.48
2020-10-01,103,1.2
2020-10-01,187,5.33
2020-10-01,103,1.17
2020-10-01,103,3.6
2020-10-01,116,2.17
2020-10-01,103,1.42
2020-10-01,103,0.12
2020-10-01,103,1.45
2020-10-01,103,1.58
2020-10-01,103,2.13
2020-10-01,103,2.68
2020-10-01,103,0.98
2020-10-01,103,1.83
2020-10-01,103,1.4
2020-10-01,103,1.15
2020-10-01,103,0.98
2020-10-01,103,2.73
2020-10-01,103,0.27
2020-10-01,103,1.15
2020-10-01,180,2.9
2020-10-02,187,4.67
2020-10-02,144,1.92
2020-10-02,144,13.0
2020-10-02,144,1.73
2020-10-02,144,12.83
2020-10-02,144,14.62
2020-10-02,144,1.98
2020-10-02,144,7.4
2020-10-02,144,15.48
2020-10-02,144,11.43
2020-10-02,144,3.25
2020-10-02,116,4.15
2020-10-02,161,8.15
2020-10-02,116,1.33
2020-10-02,116,1.42
2020-10-02,161,2.28
2020-10-02,116,1.78
2020-10-02,161,6.82
2020-10-02,161,5.85
2020-10-02,161,1.62
2020-10-02,116,1.8
2020-10-02,116,2.13
2020-10-02,116,1.77
2020-10-02,116,2.78
2020-10-02,116,1.82
2020-10-02,116,2.1
2020-10-02,116,1.87
2020-10-02,116,1.33
2020-10-02,187,3.73
2020-10-02,116,4.2
2020-10-02,187,1.57
2020-10-02,116,3.12
2020-10-02,161,0.98
2020-10-02,116,0.7
2020-10-02,116,0.83
2020-10-02,187,3.73
2020-10-02,187,15.32
2020-10-02,161,2.28
2020-10-02,128,0.9
2020-10-02,161,16.48
2020-10-02,128,0.22
2020-10-02,128,0.8
2020-10-02,187,1.62
2020-10-02,128,0.15
2020-10-02,128,2.07
2020-10-02,128,0.78
2020-10-02,128,0.02
2020-10-02,128,7.73
2020-10-02,103,1.15
2020-10-02,103,2.18
2020-10-02,103,0.8
2020-10-02,103,2.9
2020-10-02,103,4.77
2020-10-02,103,0.25
2020-10-02,103,0.62
2020-10-02,188,0.32
2020-10-02,188,2.33
2020-10-02,188,0.5
2020-10-02,180,1.0
2020-10-03,181,1.23
2020-10-03,181,1.62
2020-10-03,181,6.22
2020-10-03,163,1.87
2020-10-03,181,3.27
2020-10-03,181,2.08
2020-10-03,181,1.92
2020-10-03,181,4.68
2020-10-03,181,0.38
2020-10-03,181,0.47
2020-10-03,181,3.32
2020-10-03,181,1.02
2020-10-03,163,2.25
2020-10-03,163,0.27
2020-10-03,181,2.37
2020-10-03,181,16.05
2020-10-03,170,9.47
2020-10-03,181,8.18
2020-10-03,163,1.1
2020-10-03,163,0.37
2020-10-03,181,2.1
2020-10-03,181,4.82
2020-10-03,181,5.62
2020-10-03,163,1.08
2020-10-03,163,4.48
2020-10-03,181,1.18
2020-10-03,181,2.13
2020-10-03,181,1.98
2020-10-03,163,2.92
2020-10-03,181,6.5
2020-10-03,163,4.35
2020-10-03,181,0.82
2020-10-03,163,11.58
2020-10-03,181,5.98
2020-10-03,181,7.6
2020-10-03,163,3.92
2020-10-03,181,3.2
2020-10-03,163,0.75
2020-10-03,163,6.38
2020-10-03,181,1.15
2020-10-03,181,1.13
2020-10-03,181,0.8
2020-10-03,171,0.02
2020-10-03,112,2.52
2020-10-03,112,2.13
2020-10-03,181,2.23
2020-10-03,163,3.32
2020-10-03,163,11.65
2020-10-03,112,2.27
2020-10-03,112,2.92
2020-10-03,181,0.45
2020-10-03,181,0.28
2020-10-03,181,0.5
2020-10-03,112,5.65
